# Start Parts
Armscye
Collar
Clerical collar
Collar stays
Detachable collar
Cuff
Dart
Facing
Fly
Lapel
Gore
Hem
Lining
Placket
Pleat
Pocket
Revers
Ruffle
Shoulder pads
Shoulder strap
Sleeve
Train
Waistband
Yoke
Back closure
Belt hook
Buckle
Button
Buttonhole
Frog
Shank
Hook-and-eye closure
Hook-and-loop fastener
Velcro
Snap fastener
Zipper
Neckline
Bustline
Waistline
Hemline
# End Parts
# Start Types
Beret
Cap
Baseball cap
Flat cap
Knit cap
Hat
Boater
Bowler hat
Fedora
Homburg hat
Top hat
Helmet
Hood (headgear)
Kerchief
Turban
Veil
Bands (neckwear)
Choker
Clerical collar
Pussy bow
Neckerchief
Neck warmer
Necktie
Ascot tie
Bolo tie
Bow tie
School tie
Stock tie
Scarf
Tippet
Blouse
Cache-coeur
Crop top
Halterneck
Tube top
Cycling jersey
Kurta
Mantle (clothing)
Shirt
Dress shirt
Henley shirt
Polo shirt
Sleeveless shirt
T-shirt
Sweater
Cardigan (sweater)
Guernsey (clothing)
Hoodie
Jersey (clothing)
Polo neck
Shrug (clothing)
Sweater vest
Twinset
Waistcoat
Bell-bottoms
Bondage pants
Capri pants
Cargo pants
Chaps
Formal trousers
High-rise (fashion)
Low-rise (fashion)
Jeans
Jodhpurs
Overalls
Palazzo pants
Parachute pants
Pedal pushers
Phat pants
Shorts
Bermuda shorts
Cycling shorts
Dolphin shorts
Gym shorts
Hotpants
Running shorts
Slim-fit pants
Sweatpants
Windpants
Yoga pants
Ceremonial dress
Academic dress
Court dress
Diplomatic uniform
Folk costume
Jodhpuri
Jumpsuit
Military uniform
Full dress uniform
Mess dress uniform
Service dress uniform
Sailor suit
Combat uniform
Pantsuit
Religious clothing
Cassock
Clerical clothing
Vestment
School uniform
Prison uniform
Workwear
Boilersuit
Cleanroom suit
Hazmat suit
Space suit
Scrubs (clothing)
Backless dress
Bouffant gown
Coatdress
Cocktail dress
Little black dress
Evening gown
Ball gown
Débutante dress
Princess line
Strapless dress
Wedding dress
Wrap dress
House dress
Jumper (dress)
Romper suit
Sheath dress
Shirtdress
Slip dress
Sundress
A-line (clothing)
Ballerina skirt
Denim skirt
Men's skirts
Miniskirt
Pencil skirt
Prairie skirt
Rah-rah skirt
Sarong
Skort
Tutu (clothing)
Wrap (clothing)
Car coat
Chesterfield coat
Covert coat
Duffel coat
Duster (clothing)
Greatcoat
British Warm
Guards Coat
Greca (clothing)
Over-frock coat
Riding coat
Shadbelly
Trench coat
Ulster coat
Cloak
Opera cloak
Paletot
Pea coat
Polo coat
Raincoat
Frock coat
Bekishe
Rekel
Mess jacket
Suit jacket
Blazer
Smoking jacket
Sport coat
Teba jacket
Tailcoat
White tie
Morning dress
Apron
Pinafore
Blouson
Cagoule
Cape
Ferraiolo
Inverness cape
Mantle (monastic vesture)
Mantle (royal garment)
Mozzetta
Pellegrina
Coatee
Cut-off
Gilet
Jacket
Down_jacket
Flight jacket
Goggle jacket
Harrington jacket
Leather jacket
Mackinaw jacket
Norfolk jacket
Safari jacket
Jerkin (garment)
White coat
Parka
Poncho
Robe
Bathrobe
Dressing gown
Shawl
Ski suit
Sleeved blanket
Windbreaker
Bra
Camisole
Undershirt
Diaper
Training pants
Leggings
Panties
Plastic pants
Slip (clothing)
Thong
Underpants
Boxer briefs
Boxer shorts
Briefs
Bodysuit
Infant bodysuit
Long underwear
See-through clothing
Teddy (garment)
Babydoll
Babygrow
Blanket sleeper
Negligee
Nightgown
Nightshirt
Pajamas
Bikini
Burkini
Boardshorts
Dry suit
Monokini
One-piece swimsuit
Rash guard
Sling swimsuit
Square leg suit
Swim briefs
Swim diaper
Trunks (clothing)
Wetsuit
Boot
Court shoe
Dress boot
Dress shoe
Flip-flops
Sandal
Shoe
Slipper
Sneaker
Sock
Hold-ups
Garter
Pantyhose
Stocking
Tights
Belt (clothing)
Boutonnière
Coin purse
Cufflink
Cummerbund
Gaiters
Glasses
Gloves
Headband
Handbag
Jewellery
Livery
Muff (handwarmer)
Pocket protector
Pocket watch
Sash
Spats (footwear)
Sunglasses
Suspenders
Umbrella
Wallet
Watch
Formal wear
Morning dress
White tie
Semi-formal wear
Black lounge suit
Black tie
Informal wear
Casual wear
Clothing fetish
Clothing swap
Costume
creature suit
Halloween costume
Cross-dressing
Fashion
Haute couture
Made-to-measure
Ready-to-wear
Fur clothing
List of types of fur
Fursuit
Secondhand clothing
Clothing laws by country
List of individual dresses
Reconstructed clothing
Right to clothing
Vintage clothing
# End Types
