# Start Fabrics
Cotton
Denim
Fur clothing
Linen
Silk
Wool
Artificial leather
Elastomer
Nylon
Polyester
Rayon
Spandex
Calfskin
Buckskin
Goatskin
Kangaroo leather
Ostrich leather
Sealskin
Sheepskin
Snakeskin
chiffon
velvet
satin
# End Fabric
